listing_id,date
15400,2009-12-21
15400,2010-10-02
15400,2010-10-17
15400,2011-03-04
15400,2011-04-07
15400,2011-04-17
15400,2011-04-27
15400,2011-08-19
15400,2011-08-30
15400,2011-09-13
15400,2011-09-21
15400,2011-10-17
15400,2011-11-01
15400,2012-01-16
15400,2012-03-21
15400,2012-03-31
15400,2012-05-27
15400,2012-06-16
15400,2012-07-02
15400,2012-07-16
15400,2012-07-24
15400,2012-08-30
15400,2012-09-08
15400,2012-09-16
15400,2012-09-27
15400,2013-01-06
15400,2013-03-03
15400,2013-05-05
15400,2013-05-09
15400,2013-05-19
15400,2013-10-19
15400,2013-11-04
15400,2013-11-29
15400,2014-01-02
15400,2014-01-14
15400,2014-01-20
15400,2014-04-23
15400,2014-05-25
15400,2014-06-02
15400,2014-06-09
15400,2014-06-29
15400,2014-07-06
15400,2014-08-07
15400,2014-12-05
15400,2015-03-08
15400,2015-03-16
15400,2015-04-08
15400,2015-05-21
15400,2015-06-03
15400,2015-06-07
15400,2015-06-20
15400,2015-06-24
15400,2015-07-10
15400,2015-07-13
15400,2015-07-20
15400,2015-07-28
15400,2016-03-23
15400,2016-04-12
15400,2016-05-29
15400,2016-06-26
15400,2016-07-26
15400,2016-08-14
15400,2016-08-28
15400,2016-09-03
15400,2016-09-12
15400,2016-09-16
15400,2016-10-10
15400,2016-10-14
15400,2016-10-19
15400,2016-10-23
15400,2016-12-17
15400,2017-01-01
15400,2017-04-01
15400,2017-05-24
15400,2017-06-28
15400,2017-07-10
15400,2017-10-05
15400,2017-10-10
15400,2018-03-03
15400,2018-03-20
15400,2018-03-30
15400,2019-04-08
15400,2019-04-16
15400,2019-04-22
15400,2019-05-05
15400,2019-08-10
15400,2019-08-27
15400,2019-09-23
15400,2020-03-16
49970,2010-12-29
49970,2011-03-05
49970,2011-03-09
49970,2011-03-18
49970,2011-03-21
49970,2011-03-25
49970,2011-04-04
49970,2011-04-07
49970,2011-04-12
49970,2011-04-18
49970,2011-05-01
49970,2011-05-02
49970,2011-05-22
49970,2011-06-18
49970,2011-07-04
49970,2011-09-08
49970,2012-03-30
49970,2012-11-01
49970,2012-11-03
49970,2013-05-07
49970,2013-07-09
49970,2013-07-12
49970,2013-09-23
49970,2014-05-25
49970,2014-06-25
49970,2014-07-28
49970,2014-08-21
49970,2014-09-04
49970,2014-09-10
49970,2014-09-14
49970,2014-10-02
49970,2014-11-15
49970,2014-12-01
49970,2014-12-30
49970,2015-02-04
49970,2015-03-12
49970,2015-06-13
49970,2015-06-30
